Release,Opening,Total Gross,% of Total,Theaters,Average,Date,Distributor,Opening_Lag1,TotalGross_Lag1,Opening_RollingMean7,TotalGross_RollingMean7,Holiday,Action,Comedy,Drama,Opening_AvgOpening,Total Gross_AvgTotalGross,Opening_AvgOpening.1,Total Gross_AvgTotalGross.1,Opening_AvgOpening.2,Total Gross_AvgTotalGross.2,Opening_AvgOpening.3,Total Gross_AvgTotalGross.3,Opening_AvgOpening.4,Total Gross_AvgTotalGross.4,Opening_AvgOpening.5,Total Gross_AvgTotalGross.5,Genre_Comedy,Genre_Drama,Director_Director2,Director_Director3,Opening_to_TotalGross_Ratio
51,0.9292929292929294,0.14141414141414144,71,0.6060606060606061,20,2024-08-03,86,0.9292929292929294,0.14141414141414144,0.9999999999999999,0.0,0,1,0,0,29,37,48.495384615384616,46.85846153846154,48.495384615384616,46.85846153846154,48.495384615384616,46.85846153846154,48.495384615384616,46.85846153846154,48.495384615384616,46.85846153846154,0.0,0.0,0.0,0.0,6.571428571428571
1,0.6363636363636365,0.595959595959596,20,0.32323232323232326,75,2023-08-12,21,0.9292929292929294,0.14141414141414144,0.8051823416506717,0.34691629955947134,0,0,0,1,61,46,48.495384615384616,46.85846153846154,48.495384615384616,46.85846153846154,48.495384615384616,46.85846153846154,48.495384615384616,46.85846153846154,48.495384615384616,46.85846153846154,0.0,1.0,0.0,0.0,1.0677966101694916
91,0.595959595959596,0.7070707070707072,43,0.07070707070707072,46,2023-12-10,77,0.5050505050505051,0.5454545454545455,0.6506717850287908,0.5435022026431717,0,0,1,0,62,17,48.495384615384616,46.85846153846154,48.495384615384616,46.85846153846154,48.495384615384616,46.85846153846154,48.495384615384616,46.85846153846154,48.495384615384616,46.85846153846154,1.0,0.0,0.0,0.0,0.8428571428571429
89,0.43434343434343436,0.33333333333333337,73,0.6161616161616162,99,2024-06-07,94,0.595959595959596,0.7070707070707072,0.5888675623800383,0.49339207048458145,1,0,1,0,52,23,48.495384615384616,46.85846153846154,48.495384615384616,46.85846153846154,48.495384615384616,46.85846153846154,48.495384615384616,46.85846153846154,48.495384615384616,46.85846153846154,1.0,0.0,0.0,0.0,1.303030303030303
34,0.32323232323232326,0.04040404040404041,40,0.27272727272727276,6,2023-05-09,71,0.888888888888889,0.595959595959596,0.5834932821497121,0.42951541850220243,0,0,1,0,85,90,48.495384615384616,46.85846153846154,48.495384615384616,46.85846153846154,48.495384615384616,46.85846153846154,48.495384615384616,46.85846153846154,48.495384615384616,46.85846153846154,1.0,0.0,0.0,0.0,8.0
51,0.9595959595959597,0.030303030303030304,93,0.22222222222222224,14,2024-10-18,28,0.6464646464646465,0.98989898989899,0.5911708253358925,0.49118942731277504,1,0,0,1,61,56,48.495384615384616,46.85846153846154,48.495384615384616,46.85846153846154,48.495384615384616,46.85846153846154,48.495384615384616,46.85846153846154,48.495384615384616,46.85846153846154,0.0,1.0,0.0,0.0,31.666666666666668
55,0.8080808080808082,0.5858585858585859,1,0.010101010101010102,91,2023-09-30,86,0.6161616161616162,0.36363636363636365,0.621880998080614,0.4118942731277534,0,1,0,0,31,67,48.495384615384616,46.85846153846154,48.495384615384616,46.85846153846154,48.495384615384616,46.85846153846154,48.495384615384616,46.85846153846154,48.495384615384616,46.85846153846154,0.0,0.0,0.0,0.0,1.3793103448275863
22,0.30303030303030304,0.9393939393939394,41,0.98989898989899,6,2023-10-12,89,0.3535353535353536,0.18181818181818182,0.5355086372360844,0.4229074889867841,0,1,0,0,18,47,48.495384615384616,46.85846153846154,48.495384615384616,46.85846153846154,48.495384615384616,46.85846153846154,48.495384615384616,46.85846153846154,48.495384615384616,46.85846153846154,0.0,0.0,0.0,0.0,0.3225806451612903
75,0.25252525252525254,0.15151515151515152,50,0.8585858585858587,56,2024-01-11,77,0.22222222222222224,0.08080808080808081,0.45681381957773515,0.409691629955947,1,0,1,0,47,84,48.495384615384616,46.85846153846154,48.495384615384616,46.85846153846154,48.495384615384616,46.85846153846154,48.495384615384616,46.85846153846154,48.495384615384616,46.85846153846154,1.0,0.0,0.0,0.0,1.6666666666666667
79,0.010101010101010102,0.9191919191919192,31,0.9090909090909092,83,2023-09-03,11,1.0,0.32323232323232326,0.4145873320537429,0.5418502202643172,0,0,1,0,32,39,48.495384615384616,46.85846153846154,48.495384615384616,46.85846153846154,48.495384615384616,46.85846153846154,48.495384615384616,46.85846153846154,48.495384615384616,46.85846153846154,1.0,0.0,0.0,0.0,0.01098901098901099
16,0.06060606060606061,0.4545454545454546,12,0.393939393939394,41,2023-09-14,49,0.15151515151515152,0.5656565656565657,0.2936660268714012,0.5837004405286341,0,0,1,0,16,70,48.495384615384616,46.85846153846154,48.495384615384616,46.85846153846154,48.495384615384616,46.85846153846154,48.495384615384616,46.85846153846154,48.495384615384616,46.85846153846154,1.0,0.0,0.0,0.0,0.13333333333333333
44,0.6060606060606061,0.4646464646464647,20,0.797979797979798,84,2023-02-20,35,0.9191919191919192,0.7171717171717172,0.4760076775431862,0.38986784140969155,0,0,0,1,0,53,48.495384615384616,46.85846153846154,48.495384615384616,46.85846153846154,48.495384615384616,46.85846153846154,48.495384615384616,46.85846153846154,48.495384615384616,46.85846153846154,0.0,1.0,0.0,0.0,1.3043478260869563
68,0.4646464646464647,0.24242424242424243,65,0.09090909090909091,55,2024-08-17,4,0.27272727272727276,0.9191919191919192,0.3186180422264875,0.5903083700440528,0,0,1,0,85,58,48.495384615384616,46.85846153846154,48.495384615384616,46.85846153846154,48.495384615384616,46.85846153846154,48.495384615384616,46.85846153846154,48.495384615384616,46.85846153846154,1.0,0.0,0.0,0.0,1.9166666666666667
25,0.33333333333333337,0.5353535353535354,2,0.494949494949495,11,2023-12-31,53,0.7373737373737375,0.8282828282828284,0.3435700575815739,0.7929515418502201,0,0,0,1,65,74,48.495384615384616,46.85846153846154,48.495384615384616,46.85846153846154,48.495384615384616,46.85846153846154,48.495384615384616,46.85846153846154,48.495384615384616,46.85846153846154,0.0,1.0,0.0,0.0,0.6226415094339623
